precio_id,fecha,activo_id,nombre_activo,precio_cop_kg,volumen_ton,mercado,fuente,moneda
0,2023-01-01,PAPA_PAS,Papa Pastusa,1999.01,438.9,Corabastos Bogotá,DANE-SIPSA,COP
1,2023-01-01,FLOR_CLV,Clavel Estándar,4523.84,165.7,Exportación Miami,Asocolflores,USD
2,2023-01-01,CAFE_PER,Café Pergamino Seco,3006.34,80.3,FNC Colombia,Federación Nacional de Cafeteros,COP
3,2023-01-08,PAPA_PAS,Papa Pastusa,2323.76,511.4,Corabastos Bogotá,DANE-SIPSA,COP
4,2023-01-08,FLOR_CLV,Clavel Estándar,3965.26,136.3,Exportación Miami,Asocolflores,USD
5,2023-01-08,CAFE_PER,Café Pergamino Seco,2914.63,75.7,FNC Colombia,Federación Nacional de Cafeteros,COP
6,2023-01-15,PAPA_PAS,Papa Pastusa,1922.59,296.9,Corabastos Bogotá,DANE-SIPSA,COP
7,2023-01-15,FLOR_CLV,Clavel Estándar,3337.54,103.1,Exportación Miami,Asocolflores,USD
8,2023-01-15,CAFE_PER,Café Pergamino Seco,2694.87,91.3,FNC Colombia,Federación Nacional de Cafeteros,COP
9,2023-01-22,PAPA_PAS,Papa Pastusa,1577.59,337.0,Corabastos Bogotá,DANE-SIPSA,COP
10,2023-01-22,FLOR_CLV,Clavel Estándar,4932.82,113.2,Exportación Miami,Asocolflores,USD
11,2023-01-22,CAFE_PER,Café Pergamino Seco,3127.01,56.5,FNC Colombia,Federación Nacional de Cafeteros,COP
12,2023-01-29,PAPA_PAS,Papa Pastusa,1686.69,458.9,Corabastos Bogotá,DANE-SIPSA,COP
13,2023-01-29,FLOR_CLV,Clavel Estándar,3624.5,131.3,Exportación Miami,Asocolflores,USD
14,2023-01-29,CAFE_PER,Café Pergamino Seco,2859.74,79.2,FNC Colombia,Federación Nacional de Cafeteros,COP
15,2023-02-05,PAPA_PAS,Papa Pastusa,1669.49,598.2,Corabastos Bogotá,DANE-SIPSA,COP
16,2023-02-05,FLOR_CLV,Clavel Estándar,4193.25,88.3,Exportación Miami,Asocolflores,USD
17,2023-02-05,CAFE_PER,Café Pergamino Seco,3429.02,60.6,FNC Colombia,Federación Nacional de Cafeteros,COP
