fecha,estacion_id,t_promedio_c,t_minima_c,t_maxima_c,hdd,cdd,hdd_acumulado,evento_helada,enso_index,precipitacion_mm
2023-01-01,EST001,8.34,2.05,13.1,1.66,0.0,1.66,0,-0.114,0.96
2023-01-01,EST002,8.1,2.87,13.21,1.9,0.0,1.9,0,-0.373,0.11
2023-01-01,EST003,11.88,5.38,16.49,0.0,1.88,0.0,0,-0.437,3.26
2023-01-02,EST001,11.89,11.84,16.81,0.0,1.89,1.66,0,-0.042,6.09
2023-01-02,EST002,16.86,11.17,21.46,0.0,6.86,1.9,0,-0.304,11.72
2023-01-02,EST003,12.87,8.85,17.83,0.0,2.87,0.0,0,0.087,3.57
2023-01-03,EST001,11.14,7.96,16.09,0.0,1.14,1.66,0,-0.122,1.86
2023-01-03,EST002,12.51,8.89,19.77,0.0,2.51,1.9,0,-0.754,7.27
2023-01-03,EST003,15.84,14.95,20.33,0.0,5.84,0.0,0,-0.07,0.22
2023-01-04,EST001,10.63,8.3,18.26,0.0,0.63,1.66,0,0.336,7.81
2023-01-04,EST002,14.04,11.73,18.25,0.0,4.04,1.9,0,0.202,0.33
2023-01-04,EST003,14.5,10.86,18.94,0.0,4.5,0.0,0,0.268,5.33
2023-01-05,EST001,11.67,5.93,15.05,0.0,1.67,1.66,0,0.254,5.78
2023-01-05,EST002,11.47,6.98,14.59,0.0,1.47,1.9,0,0.346,3.45
2023-01-05,EST003,11.41,5.84,15.35,0.0,1.41,0.0,0,-0.354,0.67
2023-01-06,EST001,14.09,12.01,21.72,0.0,4.09,1.66,0,-0.542,9.09
2023-01-06,EST002,12.77,8.92,16.95,0.0,2.77,1.9,0,0.202,3.89
2023-01-06,EST003,15.48,11.31,20.71,0.0,5.48,0.0,0,-0.027,3.83
2023-01-07,EST001,13.34,11.91,16.32,0.0,3.34,1.66,0,0.319,4.51
2023-01-07,EST002,11.78,7.75,17.3,0.0,1.78,1.9,0,-0.066,1.67
2023-01-07,EST003,13.21,10.68,18.82,0.0,3.21,0.0,0,-0.415,7.09
2023-01-08,EST001,13.75,9.37,20.22,0.0,3.75,1.66,0,0.609,7.04
2023-01-08,EST002,7.64,5.56,11.7,2.36,0.0,4.26,0,0.118,5.55
2023-01-08,EST003,10.91,6.63,14.78,0.0,0.91,0.0,0,-0.074,0.22
2023-01-09,EST001,10.26,8.29,13.8,0.0,0.26,1.66,0,0.44,1.15
2023-01-09,EST002,18.82,14.08,24.1,0.0,8.82,4.26,0,-0.134,6.1
2023-01-09,EST003,11.28,7.1,20.12,0.0,1.28,0.0,0,0.095,7.45
2023-01-10,EST001,10.81,6.86,18.47,0.0,0.81,1.66,0,-0.051,9.44
2023-01-10,EST002,14.01,10.85,19.96,0.0,4.01,4.26,0,0.429,5.87
2023-01-10,EST003,8.79,5.88,13.42,1.21,0.0,1.21,0,0.115,5.86
2023-01-11,EST001,13.01,11.01,18.58,0.0,3.01,1.66,0,0.334,5.68
2023-01-11,EST002,14.94,9.69,20.63,0.0,4.94,4.26,0,0.13,0.98
2023-01-11,EST003,13.79,9.48,19.2,0.0,3.79,1.21,0,-0.232,0.76
2023-01-12,EST001,15.2,11.26,21.22,0.0,5.2,1.66,0,0.173,4.09
2023-01-12,EST002,14.59,11.36,19.73,0.0,4.59,4.26,0,0.025,2.7
2023-01-12,EST003,11.95,7.62,16.23,0.0,1.95,1.21,0,0.541,1.32
2023-01-13,EST001,12.1,8.76,19.27,0.0,2.1,1.66,0,0.237,7.1
2023-01-13,EST002,8.53,4.13,14.86,1.47,0.0,5.73,0,0.202,7.2
2023-01-13,EST003,11.43,5.32,19.88,0.0,1.43,1.21,0,0.069,2.66
2023-01-14,EST001,16.2,9.83,20.42,0.0,6.2,1.66,0,0.065,3.15
2023-01-14,EST002,8.88,6.26,12.37,1.12,0.0,6.85,0,-0.039,3.9
2023-01-14,EST003,13.31,6.98,16.81,0.0,3.31,1.21,0,0.486,3.36
2023-01-15,EST001,12.45,7.44,15.77,0.0,2.45,1.66,0,0.319,4.5
2023-01-15,EST002,13.47,9.04,22.15,0.0,3.47,6.85,0,0.013,2.41
2023-01-15,EST003,11.16,7.99,15.2,0.0,1.16,1.21,0,0.561,8.26
2023-01-16,EST001,11.14,8.39,16.85,0.0,1.14,1.66,0,0.052,5.9
2023-01-16,EST002,12.75,11.02,20.07,0.0,2.75,6.85,0,0.756,2.16
2023-01-16,EST003,11.75,7.32,17.25,0.0,1.75,1.21,0,0.415,10.03
2023-01-17,EST001,12.13,9.33,15.06,0.0,2.13,1.66,0,0.012,3.9
2023-01-17,EST002,16.73,13.51,22.07,0.0,6.73,6.85,0,0.226,7.57
2023-01-17,EST003,19.04,15.84,23.31,0.0,9.04,1.21,0,0.544,6.05
2023-01-18,EST001,17.19,12.31,21.65,0.0,7.19,1.66,0,0.421,7.33
2023-01-18,EST002,14.29,9.53,20.89,0.0,4.29,6.85,0,0.595,8.15
2023-01-18,EST003,14.34,10.59,19.56,0.0,4.34,1.21,0,0.606,1.55
2023-01-19,EST001,13.49,10.08,18.53,0.0,3.49,1.66,0,0.641,4.57
2023-01-19,EST002,12.36,10.4,18.48,0.0,2.36,6.85,0,0.451,10.49
2023-01-19,EST003,11.95,7.62,17.32,0.0,1.95,1.21,0,0.73,3.71
2023-01-20,EST001,13.27,8.36,18.55,0.0,3.27,1.66,0,0.136,4.58
2023-01-20,EST002,14.92,12.46,20.12,0.0,4.92,6.85,0,0.06,7.59
2023-01-20,EST003,8.91,5.75,14.48,1.09,0.0,2.3,0,0.74,3.8
2023-01-21,EST001,11.18,4.36,14.01,0.0,1.18,1.66,0,-0.377,5.32
2023-01-21,EST002,10.98,8.51,17.04,0.0,0.98,6.85,0,0.356,2.31
2023-01-21,EST003,9.52,4.21,15.5,0.48,0.0,2.78,0,0.253,9.54
2023-01-22,EST001,9.89,8.18,13.85,0.11,0.0,1.77,0,0.282,4.73
2023-01-22,EST002,11.64,7.11,14.76,0.0,1.64,6.85,0,0.729,3.75
2023-01-22,EST003,15.51,11.0,21.2,0.0,5.51,2.78,0,0.467,5.34
2023-01-23,EST001,14.18,8.19,19.47,0.0,4.18,1.77,0,0.521,3.73
2023-01-23,EST002,15.84,12.85,23.54,0.0,5.84,6.85,0,0.296,0.29
2023-01-23,EST003,13.04,10.06,19.3,0.0,3.04,2.78,0,0.113,2.66
2023-01-24,EST001,7.85,4.53,9.21,2.15,0.0,3.92,0,-0.154,6.28
2023-01-24,EST002,14.2,9.56,17.75,0.0,4.2,6.85,0,0.307,3.99
2023-01-24,EST003,9.82,3.56,16.14,0.18,0.0,2.96,0,0.255,4.08
2023-01-25,EST001,13.09,12.15,17.72,0.0,3.09,3.92,0,0.129,1.0
2023-01-25,EST002,11.54,4.84,17.5,0.0,1.54,6.85,0,0.162,5.72
2023-01-25,EST003,16.22,10.83,21.31,0.0,6.22,2.96,0,0.14,6.09
2023-01-26,EST001,13.55,8.21,19.5,0.0,3.55,3.92,0,0.661,2.39
2023-01-26,EST002,15.53,11.23,23.64,0.0,5.53,6.85,0,0.139,9.21
2023-01-26,EST003,13.21,10.19,17.48,0.0,3.21,2.96,0,0.25,5.27
2023-01-27,EST001,13.88,10.74,18.84,0.0,3.88,3.92,0,1.001,9.18
2023-01-27,EST002,13.33,9.27,18.51,0.0,3.33,6.85,0,0.543,0.93
2023-01-27,EST003,12.08,10.58,17.68,0.0,2.08,2.96,0,0.553,2.55
2023-01-28,EST001,16.5,14.34,19.3,0.0,6.5,3.92,0,0.438,7.14
2023-01-28,EST002,16.45,13.14,23.07,0.0,6.45,6.85,0,0.359,3.48
2023-01-28,EST003,14.93,9.95,17.57,0.0,4.93,2.96,0,0.814,8.14
2023-01-29,EST001,11.01,6.42,16.75,0.0,1.01,3.92,0,0.461,2.35
2023-01-29,EST002,10.56,6.6,17.32,0.0,0.56,6.85,0,0.546,2.89
2023-01-29,EST003,14.65,14.38,21.37,0.0,4.65,2.96,0,-0.139,2.91
2023-01-30,EST001,9.77,7.71,16.51,0.23,0.0,4.15,0,0.255,5.04
2023-01-30,EST002,12.12,7.4,17.24,0.0,2.12,6.85,0,0.01,6.99
2023-01-30,EST003,11.49,9.82,15.85,0.0,1.49,2.96,0,0.845,6.55
2023-01-31,EST001,11.7,8.22,16.22,0.0,1.7,4.15,0,1.03,5.15
2023-01-31,EST002,13.32,7.77,18.68,0.0,3.32,6.85,0,0.329,3.41
2023-01-31,EST003,12.54,8.6,18.63,0.0,2.54,2.96,0,0.423,6.2
2023-02-01,EST001,12.37,8.25,14.37,0.0,2.37,0.0,0,0.694,5.04
2023-02-01,EST002,14.74,14.4,22.87,0.0,4.74,0.0,0,0.377,7.32
2023-02-01,EST003,10.12,5.2,13.54,0.0,0.12,0.0,0,0.232,9.74
2023-02-02,EST001,12.09,7.76,18.4,0.0,2.09,0.0,0,0.579,4.45
2023-02-02,EST002,13.15,5.54,18.06,0.0,3.15,0.0,0,0.491,7.15
2023-02-02,EST003,15.48,9.7,21.44,0.0,5.48,0.0,0,0.088,8.9
2023-02-03,EST001,9.7,5.25,13.57,0.3,0.0,0.3,0,0.423,4.99
2023-02-03,EST002,13.04,8.41,20.46,0.0,3.04,0.0,0,0.578,3.27
2023-02-03,EST003,15.13,9.35,18.29,0.0,5.13,0.0,0,0.621,6.1
2023-02-04,EST001,11.83,5.77,16.6,0.0,1.83,0.3,0,0.491,3.48
2023-02-04,EST002,12.28,9.92,15.12,0.0,2.28,0.0,0,0.932,1.46
2023-02-04,EST003,10.24,9.47,14.28,0.0,0.24,0.0,0,0.056,8.93
2023-02-05,EST001,15.09,12.12,23.47,0.0,5.09,0.3,0,0.759,3.03
2023-02-05,EST002,5.99,-1.45,8.91,4.01,0.0,4.01,1,-0.029,7.07
2023-02-05,EST003,18.82,12.74,24.67,0.0,8.82,0.0,0,0.643,6.56
2023-02-06,EST001,14.47,10.05,19.63,0.0,4.47,0.3,0,0.457,1.74
2023-02-06,EST002,11.54,10.08,16.39,0.0,1.54,4.01,0,0.179,0.69
2023-02-06,EST003,13.17,7.08,19.55,0.0,3.17,0.0,0,0.005,1.03
2023-02-07,EST001,14.92,12.39,19.58,0.0,4.92,0.3,0,0.652,1.09
2023-02-07,EST002,12.5,10.5,16.6,0.0,2.5,4.01,0,0.583,0.78
2023-02-07,EST003,13.82,9.85,19.65,0.0,3.82,0.0,0,0.554,8.09
2023-02-08,EST001,12.88,9.52,18.06,0.0,2.88,0.3,0,0.661,4.15
2023-02-08,EST002,12.34,9.39,16.35,0.0,2.34,4.01,0,0.077,9.25
2023-02-08,EST003,9.61,6.65,13.53,0.39,0.0,0.39,0,0.766,3.12
2023-02-09,EST001,15.69,12.7,21.11,0.0,5.69,0.3,0,0.258,10.44
2023-02-09,EST002,9.27,4.81,15.22,0.73,0.0,4.74,0,0.632,3.44
2023-02-09,EST003,12.4,8.33,17.18,0.0,2.4,0.39,0,0.798,10.63
2023-02-10,EST001,11.18,9.23,16.05,0.0,1.18,0.3,0,1.293,1.59
2023-02-10,EST002,16.34,9.82,20.51,0.0,6.34,4.74,0,0.69,8.89
2023-02-10,EST003,11.77,8.08,15.9,0.0,1.77,0.39,0,0.214,2.05
2023-02-11,EST001,9.51,5.46,13.36,0.49,0.0,0.79,0,0.599,0.67
2023-02-11,EST002,13.07,7.82,15.08,0.0,3.07,4.74,0,0.642,7.68
2023-02-11,EST003,9.7,3.19,15.33,0.3,0.0,0.69,0,0.318,3.83
2023-02-12,EST001,13.97,9.86,19.78,0.0,3.97,0.79,0,0.263,4.51
2023-02-12,EST002,8.71,4.88,12.35,1.29,0.0,6.03,0,0.319,7.71
2023-02-12,EST003,15.45,10.54,18.81,0.0,5.45,0.69,0,0.445,7.64
