anio,mes,hdd_mes,t_media_mes,t_min_mes,dias_con_hdd,dias_total,hdd_acum_año
2015,1,172.43,12.44,7.26,31,31,172.43
2015,2,145.7,12.8,8.32,28,28,318.13
2015,3,176.53,12.31,8.08,31,31,494.66
2015,4,196.9,11.44,7.73,30,30,691.56
2015,5,112.91,14.43,6.0,29,31,804.47
2015,6,68.88,16.03,8.49,22,30,873.35
2015,7,88.33,15.33,11.58,25,31,961.68
2015,8,192.1,11.8,8.23,31,31,1153.78
2015,9,147.3,13.12,9.82,29,30,1301.08
2015,10,274.91,9.13,-0.97,31,31,1575.99
2015,11,198.64,11.38,7.68,30,30,1774.63
2015,12,190.14,11.9,5.34,30,31,1964.77
2016,1,172.76,12.43,6.46,31,31,172.76
2016,2,146.59,12.95,8.05,29,29,319.35
2016,3,166.74,12.62,6.57,31,31,486.09
2016,4,209.8,11.01,7.31,30,30,695.89
2016,5,119.58,14.29,9.94,26,31,815.47
2016,6,122.38,14.1,8.31,27,30,937.85
2016,7,51.17,17.39,9.07,17,31,989.02
2016,8,84.48,15.36,8.69,27,31,1073.5
2016,9,161.52,12.73,7.77,28,30,1235.02
2016,10,175.92,12.49,2.88,28,31,1410.94
2016,11,206.74,11.11,6.14,30,30,1617.68
2016,12,199.88,11.55,5.53,31,31,1817.56
2017,1,149.05,13.44,3.35,28,31,149.05
2017,2,161.43,12.29,1.82,26,28,310.48
2017,3,184.43,12.05,8.25,31,31,494.91
2017,4,105.51,14.61,11.13,27,30,600.42
2017,5,132.78,13.73,8.06,30,31,733.2
2017,6,60.8,16.2,10.95,22,30,794.0
2017,7,81.57,15.79,10.07,24,31,875.57
2017,8,71.07,16.17,12.42,23,31,946.64
2017,9,103.87,14.59,11.31,28,30,1050.51
2017,10,151.93,13.13,4.26,30,31,1202.44
2017,11,240.05,10.0,2.31,30,30,1442.49
2017,12,307.54,8.08,2.17,31,31,1750.03
2018,1,231.54,10.53,5.0,31,31,231.54
2018,2,194.34,11.06,7.59,28,28,425.88
2018,3,227.27,10.67,3.82,31,31,653.15
2018,4,128.63,13.8,8.33,27,30,781.78
2018,5,89.12,15.33,11.06,26,31,870.9
2018,6,107.94,14.48,6.59,27,30,978.84
2018,7,110.62,15.77,6.5,19,31,1089.46
2018,8,49.6,17.24,12.14,18,31,1139.06
2018,9,222.33,10.59,5.67,30,30,1361.39
2018,10,118.27,14.3,8.71,28,31,1479.66
2018,11,199.27,11.36,6.38,30,30,1678.93
2018,12,245.95,10.07,3.11,31,31,1924.88
2019,1,144.27,13.35,8.94,31,31,144.27
2019,2,235.9,9.58,3.15,28,28,380.17
2019,3,222.12,10.83,3.4,31,31,602.29
2019,4,175.35,12.16,6.26,29,30,777.64
2019,5,135.64,13.76,9.68,27,31,913.28
2019,6,130.16,13.96,8.05,26,30,1043.44
2019,7,142.98,13.61,8.7,27,31,1186.42
2019,8,53.38,17.38,10.8,16,31,1239.8
2019,9,79.54,15.6,11.11,24,30,1319.34
2019,10,125.36,13.96,10.98,31,31,1444.7
2019,11,191.18,11.63,8.34,29,30,1635.88
2019,12,188.94,11.96,5.19,29,31,1824.82
2020,1,179.9,12.2,5.51,31,31,179.9
2020,2,182.29,11.76,6.76,27,29,362.19
2020,3,188.0,11.94,4.29,31,31,550.19
2020,4,256.14,9.46,5.2,30,30,806.33
2020,5,105.31,14.7,9.75,29,31,911.64
2020,6,121.0,14.0,7.93,29,30,1032.64
2020,7,117.43,14.44,9.95,25,31,1150.07
2020,8,76.42,16.44,8.92,22,31,1226.49
2020,9,94.4,15.4,9.47,23,30,1320.89
2020,10,170.4,12.57,5.14,30,31,1491.29
2020,11,244.04,9.87,3.7,30,30,1735.33
2020,12,158.48,12.89,9.54,31,31,1893.81
2021,1,148.34,13.21,8.96,31,31,148.34
2021,2,191.92,11.18,4.15,26,28,340.26
2021,3,166.89,12.63,7.96,30,31,507.15
2021,4,203.22,11.23,7.03,30,30,710.37
2021,5,155.25,12.99,7.8,31,31,865.62
2021,6,62.02,16.01,11.63,26,30,927.64
2021,7,65.18,17.11,8.76,18,31,992.82
2021,8,87.63,15.99,8.31,23,31,1080.45
2021,9,124.29,13.99,9.87,27,30,1204.74
2021,10,185.88,12.0,2.04,31,31,1390.62
2021,11,183.06,11.92,6.97,29,30,1573.68
2021,12,124.41,13.99,8.79,30,31,1698.09
2022,1,165.49,12.69,6.7,30,31,165.49
2022,2,145.69,12.84,8.68,27,28,311.18
2022,3,183.5,12.08,3.81,31,31,494.68
2022,4,163.95,12.6,5.84,29,30,658.63
2022,5,104.39,14.64,10.59,30,31,763.02
2022,6,84.35,15.62,11.35,20,30,847.37
2022,7,119.37,14.3,7.72,28,31,966.74
2022,8,103.61,14.78,10.41,28,31,1070.35
2022,9,115.13,14.48,7.94,24,30,1185.48
2022,10,155.51,12.98,8.13,31,31,1340.99
2022,11,233.45,10.22,3.16,30,30,1574.44
2022,12,157.7,13.06,6.36,28,31,1732.14
2023,1,172.26,12.45,7.53,30,31,172.26
2023,2,146.46,12.78,7.27,27,28,318.72
2023,3,187.51,11.95,7.29,31,31,506.23
2023,4,166.0,12.47,7.04,30,30,672.23
2023,5,163.99,12.92,5.67,27,31,836.22
2023,6,59.32,16.6,10.35,21,30,895.54
2023,7,79.39,15.79,9.46,24,31,974.93
2023,8,114.66,14.34,10.78,29,31,1089.59
2023,9,129.76,13.97,8.99,24,30,1219.35
2023,10,155.3,13.13,9.11,27,31,1374.65
2023,11,154.79,12.86,6.88,28,30,1529.44
2023,12,160.37,12.87,7.37,28,31,1689.81
2024,1,204.51,11.4,6.44,31,31,204.51
2024,2,260.76,9.01,2.67,29,29,465.27
2024,3,142.75,13.47,9.17,29,31,608.02
2024,4,177.63,12.09,6.14,29,30,785.65
2024,5,152.24,13.14,8.83,29,31,937.89
2024,6,91.1,15.41,7.14,24,30,1028.99
2024,7,79.76,16.21,9.44,21,31,1108.75
2024,8,82.98,15.6,11.88,26,31,1191.73
2024,9,142.31,13.26,8.69,30,30,1334.04
2024,10,215.38,11.05,5.69,31,31,1549.42
2024,11,191.72,11.67,7.38,28,30,1741.14
2024,12,143.69,13.43,5.27,29,31,1884.83
