anio,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,TOTAL
2015,172.4,145.7,176.5,196.9,112.9,68.9,88.3,192.1,147.3,274.9,198.6,190.1,1964.8
2016,172.8,146.6,166.7,209.8,119.6,122.4,51.2,84.5,161.5,175.9,206.7,199.9,1817.6
2017,149.0,161.4,184.4,105.5,132.8,60.8,81.6,71.1,103.9,151.9,240.0,307.5,1750.0
2018,231.5,194.3,227.3,128.6,89.1,107.9,110.6,49.6,222.3,118.3,199.3,246.0,1924.9
2019,144.3,235.9,222.1,175.4,135.6,130.2,143.0,53.4,79.5,125.4,191.2,188.9,1824.8
2020,179.9,182.3,188.0,256.1,105.3,121.0,117.4,76.4,94.4,170.4,244.0,158.5,1893.8
2021,148.3,191.9,166.9,203.2,155.2,62.0,65.2,87.6,124.3,185.9,183.1,124.4,1698.1
2022,165.5,145.7,183.5,164.0,104.4,84.4,119.4,103.6,115.1,155.5,233.4,157.7,1732.1
2023,172.3,146.5,187.5,166.0,164.0,59.3,79.4,114.7,129.8,155.3,154.8,160.4,1689.8
2024,204.5,260.8,142.8,177.6,152.2,91.1,79.8,83.0,142.3,215.4,191.7,143.7,1884.8
