anio,hdd_anual,t_min_media,dias_helada,dias_total,hdd_sobre_strike,hdd_efectivo,payoff_usd,payoff_vp,activado
2015,124.35,8.83,6,365,4.349999999999994,4.349999999999994,1087.5,643.69,1
2016,116.32,9.37,5,366,0.0,0.0,0.0,0.0,0
2017,156.31,9.49,14,365,36.31,36.31,9077.5,6037.06,1
2018,184.06,9.12,12,365,64.06,40.0,10000.0,7049.61,1
2019,122.57,9.34,11,365,2.569999999999993,2.569999999999993,642.5,480.11,1
2020,154.93,9.12,14,366,34.93000000000001,34.93000000000001,8732.5,6916.96,1
2021,107.29,9.69,7,365,0.0,0.0,0.0,0.0,0
2022,119.93,9.5,10,365,0.0,0.0,0.0,0.0,0
2023,72.45,9.67,1,365,0.0,0.0,0.0,0.0,0
2024,133.26,9.18,8,366,13.259999999999991,13.259999999999991,3315.0,3315.0,1
