escenario,hdd_90dias,payoff_usd,pnl_neto_usd,activado,cap_alcanzado
1,65.5,6750.0,6170.0,1,1
2,15.65,0.0,-580.0,0,0
3,34.67,0.0,-580.0,0,0
4,12.53,0.0,-580.0,0,0
5,33.13,0.0,-580.0,0,0
6,75.69,6750.0,6170.0,1,1
7,14.97,0.0,-580.0,0,0
8,54.65,4163.64,3583.64,1,0
9,34.57,0.0,-580.0,0,0
10,6.09,0.0,-580.0,0,0
11,44.11,1526.68,946.68,1,0
12,28.95,0.0,-580.0,0,0
13,22.04,0.0,-580.0,0,0
14,38.18,46.08,-533.92,1,0
15,28.64,0.0,-580.0,0,0
16,28.38,0.0,-580.0,0,0
17,11.5,0.0,-580.0,0,0
18,56.83,4707.95,4127.95,1,0
19,0.4,0.0,-580.0,0,0
20,38.2,49.99,-530.01,1,0
21,40.25,563.38,-16.62,1,0
22,26.39,0.0,-580.0,0,0
23,63.95,6487.7,5907.7,1,0
24,37.98,0.0,-580.0,0,0
25,8.71,0.0,-580.0,0,0
26,19.27,0.0,-580.0,0,0
27,69.28,6750.0,6170.0,1,1
28,19.39,0.0,-580.0,0,0
29,47.05,2262.5,1682.5,1,0
30,26.21,0.0,-580.0,0,0
31,36.2,0.0,-580.0,0,0
32,36.33,0.0,-580.0,0,0
33,58.1,5024.27,4444.27,1,0
34,66.67,6750.0,6170.0,1,1
35,30.8,0.0,-580.0,0,0
36,70.06,6750.0,6170.0,1,1
37,10.44,0.0,-580.0,0,0
38,49.64,2910.22,2330.22,1,0
39,44.25,1563.74,983.74,1,0
40,16.73,0.0,-580.0,0,0
41,11.97,0.0,-580.0,0,0
42,71.43,6750.0,6170.0,1,1
43,93.2,6750.0,6170.0,1,1
44,34.44,0.0,-580.0,0,0
45,84.19,6750.0,6170.0,1,1
46,26.85,0.0,-580.0,0,0
47,110.87,6750.0,6170.0,1,1
48,85.52,6750.0,6170.0,1,1
49,42.6,1151.06,571.06,1,0
50,65.93,6750.0,6170.0,1,1
51,12.93,0.0,-580.0,0,0
52,55.0,4249.41,3669.41,1,0
53,15.67,0.0,-580.0,0,0
54,72.71,6750.0,6170.0,1,1
55,48.77,2691.3,2111.3,1,0
56,22.48,0.0,-580.0,0,0
57,18.16,0.0,-580.0,0,0
58,29.95,0.0,-580.0,0,0
59,36.01,0.0,-580.0,0,0
60,88.08,6750.0,6170.0,1,1
61,35.69,0.0,-580.0,0,0
62,48.28,2569.49,1989.49,1,0
63,27.12,0.0,-580.0,0,0
64,66.94,6750.0,6170.0,1,1
65,51.58,3396.14,2816.14,1,0
66,122.98,6750.0,6170.0,1,1
67,15.58,0.0,-580.0,0,0
68,16.17,0.0,-580.0,0,0
69,34.33,0.0,-580.0,0,0
70,24.3,0.0,-580.0,0,0
71,17.76,0.0,-580.0,0,0
72,127.68,6750.0,6170.0,1,1
73,33.94,0.0,-580.0,0,0
74,39.33,332.43,-247.57,1,0
75,77.04,6750.0,6170.0,1,1
76,75.84,6750.0,6170.0,1,1
77,72.27,6750.0,6170.0,1,1
78,13.45,0.0,-580.0,0,0
79,48.65,2663.55,2083.55,1,0
80,33.47,0.0,-580.0,0,0
81,23.9,0.0,-580.0,0,0
82,65.79,6750.0,6170.0,1,1
83,56.29,4571.31,3991.31,1,0
84,40.39,598.02,18.02,1,0
85,79.34,6750.0,6170.0,1,1
86,41.34,834.82,254.82,1,0
87,16.9,0.0,-580.0,0,0
88,52.29,3571.39,2991.39,1,0
89,6.01,0.0,-580.0,0,0
90,78.87,6750.0,6170.0,1,1
91,84.55,6750.0,6170.0,1,1
92,36.9,0.0,-580.0,0,0
93,17.04,0.0,-580.0,0,0
94,33.64,0.0,-580.0,0,0
95,21.3,0.0,-580.0,0,0
96,22.34,0.0,-580.0,0,0
97,13.41,0.0,-580.0,0,0
98,28.99,0.0,-580.0,0,0
99,68.6,6750.0,6170.0,1,1
100,10.77,0.0,-580.0,0,0
101,35.77,0.0,-580.0,0,0
102,11.49,0.0,-580.0,0,0
103,61.64,5910.94,5330.94,1,0
104,33.44,0.0,-580.0,0,0
105,40.84,709.01,129.01,1,0
106,11.78,0.0,-580.0,0,0
107,47.57,2393.6,1813.6,1,0
108,21.18,0.0,-580.0,0,0
109,47.56,2389.1,1809.1,1,0
110,32.74,0.0,-580.0,0,0
111,38.69,172.14,-407.86,1,0
112,15.99,0.0,-580.0,0,0
113,102.45,6750.0,6170.0,1,1
114,18.8,0.0,-580.0,0,0
115,37.6,0.0,-580.0,0,0
116,12.95,0.0,-580.0,0,0
117,41.39,846.35,266.35,1,0
118,44.98,1745.56,1165.56,1,0
119,24.91,0.0,-580.0,0,0
120,115.81,6750.0,6170.0,1,1
121,43.05,1261.82,681.82,1,0
122,90.49,6750.0,6170.0,1,1
123,26.48,0.0,-580.0,0,0
124,60.3,5573.99,4993.99,1,0
125,19.65,0.0,-580.0,0,0
126,81.44,6750.0,6170.0,1,1
127,68.35,6750.0,6170.0,1,1
128,45.64,1909.61,1329.61,1,0
129,40.63,657.67,77.67,1,0
130,38.3,74.28,-505.72,1,0
131,37.7,0.0,-580.0,0,0
132,29.27,0.0,-580.0,0,0
133,67.44,6750.0,6170.0,1,1
134,31.6,0.0,-580.0,0,0
135,9.76,0.0,-580.0,0,0
136,44.26,1564.99,984.99,1,0
137,38.36,89.61,-490.39,1,0
138,33.75,0.0,-580.0,0,0
139,40.02,505.3,-74.7,1,0
140,74.0,6750.0,6170.0,1,1
141,14.59,0.0,-580.0,0,0
142,11.77,0.0,-580.0,0,0
143,22.01,0.0,-580.0,0,0
144,56.41,4601.75,4021.75,1,0
145,49.13,2783.51,2203.51,1,0
146,28.17,0.0,-580.0,0,0
147,16.65,0.0,-580.0,0,0
148,29.19,0.0,-580.0,0,0
149,68.74,6750.0,6170.0,1,1
150,8.39,0.0,-580.0,0,0
151,68.84,6750.0,6170.0,1,1
152,39.91,477.63,-102.37,1,0
153,49.0,2750.33,2170.33,1,0
154,10.47,0.0,-580.0,0,0
155,71.97,6750.0,6170.0,1,1
156,21.11,0.0,-580.0,0,0
157,60.19,5548.56,4968.56,1,0
158,24.13,0.0,-580.0,0,0
159,16.47,0.0,-580.0,0,0
160,32.33,0.0,-580.0,0,0
161,38.3,75.23,-504.77,1,0
162,46.12,2030.89,1450.89,1,0
163,41.24,809.48,229.48,1,0
164,13.35,0.0,-580.0,0,0
165,27.64,0.0,-580.0,0,0
166,30.01,0.0,-580.0,0,0
167,7.46,0.0,-580.0,0,0
168,73.55,6750.0,6170.0,1,1
169,45.55,1886.98,1306.98,1,0
170,36.34,0.0,-580.0,0,0
171,90.65,6750.0,6170.0,1,1
172,2.07,0.0,-580.0,0,0
173,104.09,6750.0,6170.0,1,1
174,33.02,0.0,-580.0,0,0
175,61.34,5836.09,5256.09,1,0
176,35.19,0.0,-580.0,0,0
177,15.55,0.0,-580.0,0,0
178,9.29,0.0,-580.0,0,0
179,29.93,0.0,-580.0,0,0
180,45.92,1979.14,1399.14,1,0
181,23.82,0.0,-580.0,0,0
182,67.81,6750.0,6170.0,1,1
183,37.18,0.0,-580.0,0,0
184,14.85,0.0,-580.0,0,0
185,18.4,0.0,-580.0,0,0
186,35.94,0.0,-580.0,0,0
187,43.63,1407.65,827.65,1,0
188,33.02,0.0,-580.0,0,0
189,26.17,0.0,-580.0,0,0
190,39.29,322.56,-257.44,1,0
191,38.79,197.07,-382.93,1,0
192,0.74,0.0,-580.0,0,0
193,18.26,0.0,-580.0,0,0
194,71.49,6750.0,6170.0,1,1
195,34.44,0.0,-580.0,0,0
196,53.5,3875.06,3295.06,1,0
197,18.44,0.0,-580.0,0,0
198,29.83,0.0,-580.0,0,0
199,98.52,6750.0,6170.0,1,1
200,27.9,0.0,-580.0,0,0
201,49.06,2765.35,2185.35,1,0
202,15.22,0.0,-580.0,0,0
203,28.31,0.0,-580.0,0,0
204,16.25,0.0,-580.0,0,0
205,47.5,2374.91,1794.91,1,0
206,37.13,0.0,-580.0,0,0
207,35.58,0.0,-580.0,0,0
208,34.12,0.0,-580.0,0,0
209,29.75,0.0,-580.0,0,0
210,56.32,4580.31,4000.31,1,0
211,98.52,6750.0,6170.0,1,1
212,7.74,0.0,-580.0,0,0
213,105.78,6750.0,6170.0,1,1
214,5.82,0.0,-580.0,0,0
215,17.33,0.0,-580.0,0,0
216,38.24,60.18,-519.82,1,0
217,36.83,0.0,-580.0,0,0
218,67.23,6750.0,6170.0,1,1
219,55.88,4470.09,3890.09,1,0
220,9.9,0.0,-580.0,0,0
221,30.56,0.0,-580.0,0,0
222,78.74,6750.0,6170.0,1,1
223,72.15,6750.0,6170.0,1,1
224,40.62,654.89,74.89,1,0
225,75.5,6750.0,6170.0,1,1
226,53.35,3837.63,3257.63,1,0
227,41.44,861.17,281.17,1,0
228,73.84,6750.0,6170.0,1,1
229,25.36,0.0,-580.0,0,0
230,16.74,0.0,-580.0,0,0
231,78.16,6750.0,6170.0,1,1
232,45.7,1925.56,1345.56,1,0
233,24.49,0.0,-580.0,0,0
234,18.78,0.0,-580.0,0,0
235,24.32,0.0,-580.0,0,0
236,36.66,0.0,-580.0,0,0
237,45.87,1968.03,1388.03,1,0
238,17.04,0.0,-580.0,0,0
239,45.83,1957.67,1377.67,1,0
240,32.73,0.0,-580.0,0,0
241,23.35,0.0,-580.0,0,0
242,10.76,0.0,-580.0,0,0
243,21.7,0.0,-580.0,0,0
244,16.5,0.0,-580.0,0,0
245,33.34,0.0,-580.0,0,0
246,29.14,0.0,-580.0,0,0
247,67.31,6750.0,6170.0,1,1
248,137.03,6750.0,6170.0,1,1
249,99.26,6750.0,6170.0,1,1
250,58.89,5223.09,4643.09,1,0
251,0.58,0.0,-580.0,0,0
252,101.72,6750.0,6170.0,1,1
253,42.44,1109.38,529.38,1,0
254,26.29,0.0,-580.0,0,0
255,22.51,0.0,-580.0,0,0
