fecha,t_promedio_c,t_minima_c,t_maxima_c,precipitacion_mm,hdd,cdd,evento_helada,enso_index,tendencia_c,estacionalidad_c,anio,mes,dia_semana,trimestre,hdd_acum_mes,cdd_acum_mes,dias_helada_mes
2015-01-01,15.11,11.43,19.99,3.91,0.0,5.1081,0,0.483,0.0,-0.8944,2015,1,Thursday,1,0.0,5.11,0
2015-01-02,16.5,12.31,21.62,6.98,0.0,6.5019,0,0.208,0.0001,-0.8879,2015,1,Friday,1,0.0,11.61,0
2015-01-03,15.31,11.54,20.57,2.79,0.0,5.3147,0,0.14,0.0001,-0.8815,2015,1,Saturday,1,0.0,16.92,0
2015-01-04,14.05,9.78,18.52,6.38,0.0,4.0456,0,0.106,0.0002,-0.8752,2015,1,Sunday,1,0.0,20.97,0
2015-01-05,15.08,12.08,18.91,0.0,0.0,5.0814,0,0.132,0.0002,-0.8691,2015,1,Monday,1,0.0,26.05,0
2015-01-06,16.84,13.85,21.69,2.93,0.0,6.8446,0,0.167,0.0003,-0.8632,2015,1,Tuesday,1,0.0,32.9,0
2015-01-07,11.44,7.88,15.88,10.9,0.0,1.4429,0,0.171,0.0003,-0.8574,2015,1,Wednesday,1,0.0,34.34,0
2015-01-08,7.84,3.45,13.62,0.11,2.1558,0.0,0,0.151,0.0004,-0.8519,2015,1,Thursday,1,2.16,34.34,0
2015-01-09,9.17,4.62,13.88,6.25,0.8329,0.0,0,0.117,0.0004,-0.8466,2015,1,Friday,1,2.99,34.34,0
2015-01-10,10.44,6.62,16.26,0.96,0.0,0.4407,0,0.124,0.0005,-0.8414,2015,1,Saturday,1,2.99,34.78,0
2015-01-11,12.88,8.94,17.65,9.45,0.0,2.8783,0,0.138,0.0005,-0.8366,2015,1,Sunday,1,2.99,37.66,0
2015-01-12,16.18,12.1,20.9,0.39,0.0,6.1752,0,0.128,0.0006,-0.8319,2015,1,Monday,1,2.99,43.83,0
2015-01-13,13.23,9.21,18.47,1.37,0.0,3.2337,0,0.148,0.0007,-0.8275,2015,1,Tuesday,1,2.99,47.07,0
2015-01-14,11.63,7.11,16.51,7.88,0.0,1.6305,0,0.131,0.0007,-0.8233,2015,1,Wednesday,1,2.99,48.7,0
2015-01-15,13.79,10.13,19.67,2.13,0.0,3.7867,0,0.159,0.0008,-0.8194,2015,1,Thursday,1,2.99,52.48,0
2015-01-16,15.54,12.03,20.44,0.24,0.0,5.5369,0,0.155,0.0008,-0.8158,2015,1,Friday,1,2.99,58.02,0
2015-01-17,14.32,10.69,19.1,1.75,0.0,4.3165,0,0.155,0.0009,-0.8125,2015,1,Saturday,1,2.99,62.34,0
2015-01-18,13.05,8.36,18.48,0.0,0.0,3.0494,0,0.179,0.0009,-0.8094,2015,1,Sunday,1,2.99,65.39,0
2015-01-19,14.38,10.17,20.56,2.11,0.0,4.3759,0,0.188,0.001,-0.8066,2015,1,Monday,1,2.99,69.76,0
2015-01-20,12.9,8.37,17.92,1.95,0.0,2.8979,0,0.205,0.001,-0.8041,2015,1,Tuesday,1,2.99,72.66,0
2015-01-21,12.66,9.18,16.37,10.22,0.0,2.6649,0,0.205,0.0011,-0.8019,2015,1,Wednesday,1,2.99,75.33,0
2015-01-22,15.18,11.75,19.79,4.14,0.0,5.1846,0,0.218,0.0011,-0.8,2015,1,Thursday,1,2.99,80.51,0
